id,category,description,location,date_lost,reporter_role
L94,Bag,grey backpack with laptop inside,SIT@Punggol Learning Commons,2026-09-25,student
L104,Watch,black digital sports watch,Lecture Theatre 1,2026-09-12,staff
L48,Keys,bunch of keys with red lanyard,Library level 2,2026-09-09,student
L64,Keys,house keys on a black keyring,Lecture Theatre 1,2026-09-19,staff
L18,Card,SIT student card in blue sleeve,Lecture Theatre 1,2026-09-20,staff
L89,Keys,set of keys with a whistle attached,Library level 2,2026-09-28,staff
L42,Bag,grey backpack with laptop inside,Study pod level 3,2026-09-20,student
L35,Watch,black digital sports watch,Bus stop outside campus,2026-09-04,student
L68,Bag,drawstring bag with gym clothes,Lecture Theatre 1,2026-09-22,student
L65,Jacket,denim jacket with pins on collar,SIT@Punggol Learning Commons,2026-09-17,student
L75,Bottle,green sports water bottle,W3 canteen,2026-09-25,student
L38,Jacket,denim jacket with pins on collar,Bus stop outside campus,2026-09-22,staff
L17,Watch,black digital sports watch,W3 canteen,2026-09-25,student
L47,Card,"student ID card, no sleeve",Staff lounge level 4,2026-09-27,student
L78,Watch,silver analog wristwatch,Library level 2,2026-09-24,staff
L30,Bag,drawstring bag with gym clothes,Bus stop outside campus,2026-09-05,student
L46,Umbrella,black folding umbrella,Library level 2,2026-09-12,student
L88,Jacket,denim jacket with pins on collar,Study pod level 3,2026-09-22,student
L93,Watch,black digital sports watch,Bus stop outside campus,2026-09-02,staff
L3,Bag,grey backpack with laptop inside,W2 lobby,2026-09-17,student
L19,Watch,black digital sports watch,Bus stop outside campus,2026-09-09,student
L31,Bag,drawstring bag with gym clothes,W3 canteen,2026-09-04,staff
L71,Keys,car key with SIT keychain,Sports hall,2026-09-17,student
L45,Keys,bunch of keys with red lanyard,SIT@Punggol Learning Commons,2026-09-15,student
L76,Watch,black digital sports watch,SIT@Punggol Learning Commons,2026-09-18,student
L66,Keys,car key with SIT keychain,Learning Commons,2026-09-20,student
L1,Keys,car key with SIT keychain,SIT@Punggol Learning Commons,2026-09-24,student
L101,Keys,car key with SIT keychain,Study pod level 3,2026-09-26,student
L5,Umbrella,clear plastic umbrella,Library level 2,2026-09-07,student
L36,Card,"matriculation card, slightly bent",Lecture Theatre 1,2026-09-16,student
L12,Bag,drawstring bag with gym clothes,Library level 2,2026-09-15,staff
L79,Umbrella,red umbrella with wooden handle,Bus stop outside campus,2026-09-16,student
L87,Watch,black digital sports watch,Study pod level 3,2026-09-18,student
L6,Keys,car key with SIT keychain,Learning Commons,2026-09-28,staff
L43,Earphones,AirPods in a cracked case,Sports hall,2026-09-07,staff
L34,Card,"student ID card, no sleeve",Lecture Theatre 1,2026-09-06,staff
L28,Bag,grey backpack with laptop inside,SIT@Punggol Learning Commons,2026-09-03,student
L27,Bag,"small sling bag, navy blue",W2 lobby,2026-09-03,student
L13,Earphones,white wireless earbuds in case,SIT@Punggol Learning Commons,2026-09-08,staff
L8,Earphones,AirPods in a cracked case,Study pod level 3,2026-09-07,student
L40,Bottle,green sports water bottle,SIT@Punggol Learning Commons,2026-09-19,student
L55,Earphones,white wireless earbuds in case,W2 lobby,2026-09-22,student
L82,Bag,drawstring bag with gym clothes,W3 canteen,2026-09-14,staff
L99,Bottle,metal thermos flask,Study pod level 3,2026-09-22,staff
L58,Bag,grey backpack with laptop inside,Sports hall,2026-09-06,staff
L49,Umbrella,red umbrella with wooden handle,Study pod level 3,2026-09-07,staff
L67,Umbrella,clear plastic umbrella,Lecture Theatre 1,2026-09-11,staff
L29,Earphones,white wireless earbuds in case,W3 canteen,2026-09-17,staff
L54,Card,SIT student card in blue sleeve,Lecture Theatre 1,2026-09-05,staff
L72,Umbrella,black folding umbrella,W2 lobby,2026-09-26,student
L16,Jacket,black windbreaker,Study pod level 3,2026-09-13,student
L32,Watch,black digital sports watch,SIT@Punggol Learning Commons,2026-09-22,student
L11,Umbrella,red umbrella with wooden handle,W3 canteen,2026-09-20,student
L39,Umbrella,red umbrella with wooden handle,W2 lobby,2026-09-02,student
L73,Bag,grey backpack with laptop inside,Staff lounge level 4,2026-09-20,staff
L85,Bag,"small sling bag, navy blue",Staff lounge level 4,2026-09-08,staff
L20,Earphones,black wired earphones,W3 canteen,2026-09-10,student
L96,Bag,black tote bag with files,Staff lounge level 4,2026-09-22,student
L81,Keys,house keys on a black keyring,Library level 2,2026-09-05,staff
L103,Keys,car key with SIT keychain,SIT@Punggol Learning Commons,2026-09-28,staff
L10,Watch,silver analog wristwatch,Learning Commons,2026-09-06,staff
L63,Jacket,black windbreaker,Learning Commons,2026-09-24,staff
L52,Umbrella,clear plastic umbrella,Library level 2,2026-09-24,staff
L9,Bag,black tote bag with files,Sports hall,2026-09-03,student
L15,Watch,black digital sports watch,Library level 2,2026-09-09,student
L100,Jacket,denim jacket with pins on collar,W2 lobby,2026-09-03,student
L33,Earphones,white wireless earbuds in case,W3 canteen,2026-09-08,student
L7,Watch,silver analog wristwatch,Bus stop outside campus,2026-09-04,student
L24,Keys,set of keys with a whistle attached,W3 canteen,2026-09-24,student
L44,Jacket,denim jacket with pins on collar,Library level 2,2026-09-22,staff
L57,Jacket,denim jacket with pins on collar,SIT@Punggol Learning Commons,2026-09-06,staff
L62,Umbrella,clear plastic umbrella,Library level 2,2026-09-19,student
L61,Keys,set of keys with a whistle attached,Sports hall,2026-09-12,staff
L37,Card,"matriculation card, slightly bent",Lecture Theatre 1,2026-09-01,staff
L74,Bag,drawstring bag with gym clothes,Lecture Theatre 1,2026-09-16,student
L2,Keys,set of keys with a whistle attached,Bus stop outside campus,2026-09-03,student
L14,Keys,car key with SIT keychain,W2 lobby,2026-09-19,student
